In,0.4,0.6
beginning,0.9752252252252253,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.006756756756756757,0.0045045045045045045
created,0.8866666666666667,0.006666666666666667,0.013333333333333334,0.006666666666666667,0.02,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.013333333333333334,0.006666666666666667
form,0.8771929824561403,0.005012531328320802,0.007518796992481203,0.007518796992481203,0.005012531328320802,0.03759398496240601,0.005012531328320802,0.005012531328320802,0.005012531328320802,0.007518796992481203,0.007518796992481203,0.015037593984962405,0.005012531328320802,0.005012531328320802,0.005012531328320802
void,0.0392156862745098,0.3235294117647059,0.0196078431372549,0.14705882352941177,0.0196078431372549,0.029411764705882353,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.029411764705882353,0.0196078431372549,0.0196078431372549,0.029411764705882353,0.0196078431372549,0.029411764705882353,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549
dark,0.9141914191419142,0.006600660066006601,0.006600660066006601,0.006600660066006601,0.009900990099009901,0.006600660066006601,0.009900990099009901,0.006600660066006601,0.006600660066006601,0.006600660066006601,0.006600660066006601,0.006600660066006601,0.006600660066006601
deep,0.956140350877193,0.0043859649122807015,0.0043859649122807015,0.0043859649122807015,0.0043859649122807015,0.006578947368421052,0.0043859649122807015,0.010964912280701754,0.0043859649122807015
Spirit,0.8937329700272479,0.05722070844686648,0.005449591280653951,0.005449591280653951,0.008174386920980926,0.008174386920980926,0.005449591280653951,0.005449591280653951,0.005449591280653951,0.005449591280653951
moved,0.004201680672268907,0.9663865546218487,0.004201680672268907,0.004201680672268907,0.004201680672268907,0.004201680672268907,0.004201680672268907,0.004201680672268907,0.004201680672268907
waters,0.9505703422053232,0.019011406844106463,0.0076045627376425855,0.0076045627376425855,0.0076045627376425855,0.0076045627376425855
Let,0.952112676056338,0.005633802816901409,0.005633802816901409,0.005633802816901409,0.005633802816901409,0.008450704225352112,0.005633802816901409,0.005633802816901409,0.005633802816901409
