subword,entropy
##tol,0.5743918040456695
Tam,2.2779128781463465
##ary,0.4593245598921188
end,2.4360489357899056
##rika,0.9182958340544896
ai,1.1715719736647192
##zina,0.5670082957902033
##bon,0.7965452842577373
##lina,0.7807092969654192
##omba,2.4270462177655303
Mis,1.9700167634213324
mai,1.5287918544806434
hari,0.3082228830351956
mara,0.7247547347822028
habakabaka,0.24616199629022492
ane,2.380687588011066
##lane,2.872013714489645
##anin,2.9787395305422737
##onin,1.4394530149897597
Ao,0.8617216151474313
##ang,0.7499298496842256
main,2.1105536534117655
##fang,3.1265726299704406
##omas,1.0010500948619945
##ir,0.7285626801989711
boa,1.991911884052079
kara,3.0353062574581395
##zany,1.696892228705971
hab,3.0481898414943296
##bak,2.2445951524481917
fama,1.2721845178588382
##ntara,1.1573136027543516
foto,2.0242405474164453
ke,2.064686333984175
kin,2.7317199917072204
##tana,0.25072283734140727
name,0.9773703552182729
##fat,1.5457296396127806
aina,0.7112094964440242
vor,2.060110830491329
##idi,0.297276297530326
bi,1.5013828056350584
##vent,0.5238005145544253
##sik,3.8084579549747932
##ets,0.7536241641999569
bet,1.5839509585312952
##saka,1.0842436287423043
mani,0.2507993414565796
##dina,0.7183785147277677
Mar,3.600536853759602
anak,1.5851139384491293
##hab,2.2828187866243494
##eno,0.4534622222486856
##had,1.3002412826102714
##oak,0.9188675964888317
##py,0.2977417194605324
##kis,2.220915883012407
##bi,0.5643212074949387
##ints,1.1990731271628272
##zan,1.8266231593605418
##dran,0.6714183506673616
##rik,2.123620835173461
manj,1.7242764128665542
nome,2.1152614587264216
##ts,1.7209926131127171
ind,0.9604977685547186
##hen,1.896108841827176
vita,2.2592691622636125
##ito,3.329909750967933
##sah,0.7859976473232039
##masi,2.481019685865786
##foro,2.999079570624175
##nin,0.7630156866792377
##ovan,0.665027836840644
saha,1.1245603967593905
Eden,1.1508395230514619
toe,2.647364562767038
##omb,0.8013915414730957
##ota,1.0288434923368488
tant,0.7472718235887874
##dini,1.2321830968276484
##mbol,1.1818583052205485
##pila,3.169788602550607
##tsa,0.8936238394051391
##onor,0.6072570180064916
##asa,0.6879063123685057
##vona,2.6351069644166345
##akat,0.7504867423551266
##of,1.8513459444875224
##vel,1.5190104768332526
##vor,1.3848608713555923
##sina,1.0463502008235457
nap,2.128100496653353
##leh,2.566043820580303
##ila,2.0294152443949485
##pani,0.6880049277561289
##zah,0.8663885104326049
##zon,3.0534648593766796
##ovo,0.805679084425811
on,1.6822898200983207
niz,2.996342365099885
##sam,0.9691311865343589
Pi,1.5840228445088935
##sona,2.1506676057344376
manodidin,0.6195228670340891
Ha,1.5545659929740687
##amen,1.7539333770028647
##ola,2.102698215440117
vat,0.774746955796244
