subword,entropy
principio,1.6436479066135161
creó,2.316194861425325
orden,1.211777171811165
##cía,0.9359992298949732
##bía,0.4884520042169041
tin,1.1888937859553206
##ie,2.8953105309643736
##bla,0.6378211589972251
faz,3.5492283371082824
océano,3.2467589073089917
##pí,1.5805343572641295
##ritu,1.6042067407591136
mo,0.5708633276234664
##vía,0.4692250062725934
aguas,0.8636322310641512
Sea,2.099886896347599
luz,1.0257620459300705
vio,0.6138016769751519
buena,2.268198389241508
##paró,2.699214969997831
llamó,1.265883485920078
tarde,3.985406714630307
mañana,0.6796160034042392
primer,0.8715331864822559
Hay,0.8069686855154995
b,4.417784311978483
##óveda,2.2998963911678914
##pare,1.2219424104978067
E,0.5969027236168405
debajo,0.8543872257691734
Cie,0.9709505944546686
segundo,2.4927322288354414
Re,0.40140654016950905
##ún,1.0005751282838646
solo,0.2649545876524483
modo,0.9412263862237285
apare,1.9585685498075749
##zca,1.803914066684806
seca,1.2246695152521105
L,0.7875628897759811
##lam,1.7233951163845216
reunión,0.7474562553752953
buen,0.6555199335942165
Después,1.055280097344686
Pro,1.0260077210200163
hier,0.4637976996122509
plantas,3.6119498434695587
den,0.597130319163485
semi,3.223376891268767
##lla,1.3500618952550065
árboles,1.0189996389275093
fr,2.530400294631204
##uta,0.597343247835644
##les,1.5735964287811945
fruto,1.2417328060429489
especie,1.0265340743334284
cuya,2.4296308810188947
produjo,3.1174021450256144
dan,2.320411266477953
tercer,1.1646420880304273
lu,0.9371970339517408
##mbre,0.6718477261526201
##ting,0.6588896690592358
##uir,4.545280819901424
servir,0.4110504361346373
señal,0.20667805453722304
sir,0.519016492666171
##van,2.4820044324938597
##um,0.961918891050134
grandes,2.105855797434531
mayor,1.4889077709740626
domina,0.4082785922672297
menor,2.503917967530544
Hi,1.526601249209802
##zo,1.07263916161452
estrellas,1.1907456834329957
puso,0.46747673809371293
##brar,0.4365563974193995
separa,1.184081420020075
cuarto,2.384036328856636
##can,1.85217963115057
inn,4.512013179952138
##ume,0.8128035743180773
##rables,4.805739828515382
seres,0.4954163447418314
vivien,2.9804290724794305
##tes,2.062268600590373
aves,1.5238923606522945
##len,0.2799949822366339
animales,1.45307799450272
acu,0.9057013244203741
##pla,0.8895543866746419
##zan,1.36849995126531
ave,3.2796990131907022
ala,0.9661004830794453
Vi,0.676476698767833
ben,1.4002447919839172
##dij,1.4532563267540235
fe,1.7814066724867126
##cun,2.4894440827047553
multi,1.3659872361786114
##pli,1.8283591303384448
##cao,0.23828878348425805
##lena,3.598382001454982
mare,4.072093924732846
##pl,3.3423534939881874
##quen,1.8069948456902483
quinto,2.6357497107711856
ganado,0.9544340029249649
reptiles,0.3880287875411099
##gam,4.519465452320382
nuestra,0.6917412990656889
imagen,2.6275760030687376
conforme,1.271612452913951
seme,0.7136252662628106
##jan,3.349956240921123
tenga,0.22025642843718735
dominio,3.209507907146781
peces,0.1583044351610495
mar,0.8020362685285123
animal,0.2784449929410442
C,0.4604395316070686
so,0.6968126668045772
##ju,1.6955005306254307
##gad,1.6850961114616683
##ed,0.9107216641303828
además,1.1034595002419734
planta,2.4997049521272285
da,0.7248682063463527
superficie,0.9807856294508209
árbol,1.699995428677596
cuyo,2.3139550035442635
lleva,1.6955965893624731
alimento,2.6264832709906387
muy,0.97533984394558
sexto,2.2844293233129385
termina,3.1001555385595734
##ntes,1.489374661012647
sé,1.9624077463089702
##pti,0.35181680637011437
obra,0.6003366096698427
eso,0.6112799350164507
santi,1.572638004643019
##ficó,1.4366732991028597
creación,0.17517180150989484
##tos,1.6577239172896754
creado,0.970219001530072
aún,0.5709646279182444
ningún,1.2083305528556103
##bust,0.8006049987636636
campo,0.9182958340544896
ger,4.343400348604438
##mina,0.6206881902207625
ninguna,1.3950067832756914
##over,0.2774755486620935
cult,0.1541687847634229
sub,0.2567890054495844
##gab,0.8453865850361324
formó,2.9541803542184195
pol,0.5443526551695885
So,0.5544667345141884
nar,0.9464905183834665
##iz,2.975826995907009
alien,0.9094301958767954
llegó,0.38106151974334657
plant,1.681815386467898
jardín,1.3766295642141297
Ed,1.576300006475541
oriente,1.887959977373834
formado,4.850544076275426
bro,2.1898790006590314
##tar,0.6802740230565167
clase,0.2526591603198595
##rac,3.342370993177109
##tivos,4.559531433357948
vista,1.1736588244937336
comer,0.4389839011924386
conocimiento,0.39124733113895827
Un,0.9600853166699621
río,1.7053213626295138
##gar,0.4640743466416039
div,1.2621032968565093
##id,0.48184868193746566
cuatro,0.8393912006176754
brazos,1.1766978530772338
primero,0.6945493252714563
Pi,2.838510846405426
##só,1.3494044021921572
rode,0.4809571350532792
##aba,1.043400394502169
aquella,1.66646175597972
También,0.42735485177729904
##bar,0.6513964659013178
ón,4.985207065545732
##ice,0.6282479940943186
G,0.7664445062033769
##ui,0.6344957522157865
##jón,3.023480953175068
Et,2.682546802891074
##io,1.5955407808783766
##pía,0.6206854838307648
Ti,0.8667613817568522
corre,0.7129877341942589
As,0.57273604263867
##iria,1.0624653730543048
É,2.0838347558901997
##uf,0.8187723763851379
##rates,0.5793048556764423
Tom,1.771491786600223
guarda,0.9709505944546686
Puede,3.3348683589017414
coma,1.4987317969484846
cierta,1.2363229151788566
morir,0.3775008476522019
Di,0.5126201078041183
##jo,0.6193821946787638
ayuda,0.4031110293594607
id,2.5170955892131257
##ea,0.6359732455233782
cómo,1.9900148169213197
llamar,0.7357450799791042
Lo,0.5550662781820183
és,3.5463411084556813
nombres,1.5689093660151423
Ad,1.1220086610733073
##yer,2.9711154399096866
sueño,0.3926762998170398
