Au,0.5,0.5
commence,0.03636363636363636,0.5636363636363636,0.03636363636363636,0.21818181818181817,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.03636363636363636
##réa,0.8227848101265823,0.09113924050632911,0.005063291139240506,0.005063291139240506,0.007594936708860759,0.005063291139240506,0.007594936708860759,0.005063291139240506,0.005063291139240506,0.005063291139240506,0.005063291139240506,0.005063291139240506,0.005063291139240506,0.005063291139240506,0.005063291139240506,0.005063291139240506,0.005063291139240506,0.005063291139240506
informe,0.8444444444444444,0.005555555555555556,0.005555555555555556,0.011111111111111112,0.005555555555555556,0.005555555555555556,0.022222222222222223,0.005555555555555556,0.013888888888888888,0.005555555555555556,0.008333333333333333,0.005555555555555556,0.013888888888888888,0.005555555555555556,0.013888888888888888,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.005555555555555556
vide,0.9542857142857143,0.0038095238095238095,0.005714285714285714,0.009523809523809525,0.0038095238095238095,0.007619047619047619,0.007619047619047619,0.0038095238095238095,0.0038095238095238095
##è,0.8979118329466357,0.004640371229698376,0.004640371229698376,0.009280742459396751,0.004640371229698376,0.004640371229698376,0.004640371229698376,0.0069605568445475635,0.004640371229698376,0.009280742459396751,0.004640371229698376,0.009280742459396751,0.004640371229698376,0.004640371229698376,0.004640371229698376,0.004640371229698376,0.004640371229698376,0.0069605568445475635,0.004640371229698376
##bres,0.8308605341246291,0.005934718100890208,0.005934718100890208,0.05341246290801187,0.008902077151335312,0.008902077151335312,0.011869436201780416,0.005934718100890208,0.008902077151335312,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.008902077151335312,0.01483679525222552,0.005934718100890208
surface,0.11764705882352941,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.23529411764705882,0.11764705882352941
##î,0.8523489932885906,0.010067114093959731,0.006711409395973154,0.006711409395973154,0.07718120805369127,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.006711409395973154
##me,0.9444444444444444,0.020202020202020204,0.015151515151515152,0.010101010101010102,0.010101010101010102
esprit,0.4,0.6
##uva,0.9384965831435079,0.004555808656036446,0.009111617312072893,0.004555808656036446,0.00683371298405467,0.004555808656036446,0.004555808656036446,0.00683371298405467,0.00683371298405467,0.004555808656036446,0.004555808656036446,0.004555808656036446
dessus,0.8585365853658536,0.00975609756097561,0.00975609756097561,0.00975609756097561,0.00975609756097561,0.00975609756097561,0.00975609756097561,0.014634146341463415,0.00975609756097561,0.014634146341463415,0.00975609756097561,0.014634146341463415,0.00975609756097561,0.00975609756097561
eaux,0.9534883720930233,0.011627906976744186,0.005813953488372093,0.00872093023255814,0.00872093023255814,0.005813953488372093,0.005813953488372093
lumière,0.8370044052863436,0.00881057268722467,0.00881057268722467,0.022026431718061675,0.02643171806167401,0.00881057268722467,0.00881057268722467,0.00881057268722467,0.00881057268722467,0.00881057268722467,0.00881057268722467,0.00881057268722467,0.00881057268722467,0.00881057268722467,0.00881057268722467,0.00881057268722467
vit,0.8892988929889298,0.007380073800738007,0.01845018450184502,0.007380073800738007,0.01107011070110701,0.01107011070110701,0.007380073800738007,0.01107011070110701,0.007380073800738007,0.007380073800738007,0.007380073800738007,0.007380073800738007,0.007380073800738007
bonne,0.9632034632034632,0.004329004329004329,0.006493506493506494,0.004329004329004329,0.004329004329004329,0.004329004329004329,0.004329004329004329,0.004329004329004329,0.004329004329004329
